File,Number of line,Point,Sample,Thin section,"Grain, profile",Group,Number of point,x-coordinate (mm),y-coordinate (mm),x_s-coordinate (mm),y_s-coordinate (mm),Distance (mm),SiO_2(wt%),MgO (wt%),FeO (wt%),MnO (wt%),CoO (wt%),NiO (wt%),CaO (wt%),Al_2O_3 (wt%),P_2O_5 (wt%),Cr_2O_3 (wt%),Total (wt%),Fo (mol%),Dimensionless coordinate,r(margin) (mm),r(kink) (mm),r(center) (mm),r (mm),xmin (mm),уmin (mm),xmax (mm),ymax (mm),scale,x-shift,y-shift,X,Y
Churikova66,289,Line1SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,1,31.858,51.676,32.025,51.795,0.205,40.630,50.65,7.740,0.114,0.007,0.492,0.097,0.035,0.011,0.095,59.135,92.102,0.961,0.404,0.328,0.200,0.199,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.440,0.460
Churikova66,290,Line2SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,2,31.862,51.679,32.025,51.795,0.200,40.920,50.67,7.680,0.110,0.020,0.477,0.094,0.029,0.013,0.084,59.079,92.161,1.000,0.404,0.328,0.200,0.204,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.435,0.456
Churikova66,291,Line3SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,3,31.867,51.683,32.025,51.795,0.194,40.920,50.54,7.790,0.106,0.019,0.485,0.094,0.028,0.013,0.084,59.061,92.039,0.950,-0.007,0.072,0.200,0.201,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.428,0.451
Churikova66,292,Line4SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,4,31.872,51.687,32.025,51.795,0.187,40.650,50.73,7.740,0.113,0.021,0.483,0.092,0.027,0.009,0.087,59.207,92.113,0.900,-0.007,0.072,0.200,0.194,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.422,0.446
Churikova66,293,Line5SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,5,31.877,51.690,32.025,51.795,0.181,40.650,50.67,7.700,0.110,0.013,0.481,0.094,0.024,0.009,0.086,59.093,92.142,0.855,-0.007,0.072,0.200,0.188,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.415,0.442
Churikova66,294,Line6SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,6,31.882,51.694,32.025,51.795,0.175,40.620,50.33,7.710,0.108,0.013,0.473,0.093,0.026,0.008,0.092,58.754,92.084,0.805,-0.007,0.072,0.200,0.182,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.408,0.436
Churikova66,295,Line7SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,7,31.887,51.697,32.025,51.795,0.169,40.920,50.50,7.870,0.115,0.014,0.476,0.096,0.032,0.009,0.086,59.103,91.958,0.760,-0.007,0.072,0.200,0.176,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.402,0.432
Churikova66,296,Line8SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,8,31.892,51.700,32.025,51.795,0.163,40.780,50.58,7.820,0.106,0.020,0.468,0.098,0.033,0.017,0.089,59.125,92.017,0.714,-0.007,0.072,0.200,0.170,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.395,0.428
Churikova66,297,Line9SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,9,31.896,51.704,32.025,51.795,0.158,40.640,50.52,7.950,,0.019,0.477,0.096,0.030,0.013,0.090,59.091,91.886,0.671,-0.007,0.072,0.200,0.165,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.390,0.423
Churikova66,298,Line10SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,10,31.901,51.708,32.025,51.795,0.151,41.160,50.90,8.100,0.114,0.019,0.490,0.097,0.035,0.010,0.093,59.755,91.802,0.621,-0.007,0.072,0.200,0.158,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.383,0.418
Churikova66,299,Line11SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,11,31.907,51.711,32.025,51.795,0.145,40.780,50.44,8.060,0.115,0.014,0.476,0.094,0.028,0.011,0.097,59.228,91.771,0.569,-0.007,0.072,0.200,0.152,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.375,0.414
Churikova66,300,Line12SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,12,31.912,51.715,32.025,51.795,0.138,40.840,50.22,8.020,0.116,0.019,0.475,0.098,0.028,0.013,0.099,58.976,91.775,0.519,-0.007,0.072,0.200,0.145,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.369,0.409
Churikova66,301,Line13SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,13,31.916,51.718,32.025,51.795,0.133,40.640,50.19,8.270,0.111,0.016,0.455,0.096,0.034,0.011,0.091,59.172,91.536,0.480,-0.007,0.072,0.200,0.140,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.364,0.405
Churikova66,302,Line14SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,14,31.922,51.721,32.025,51.795,0.127,40.670,50.20,8.270,0.123,0.014,0.448,0.093,0.026,0.008,0.090,59.174,91.538,0.429,-0.007,0.072,0.200,0.134,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.356,0.401
Churikova66,303,Line15SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,15,31.927,51.725,32.025,51.795,0.120,40.770,50.03,8.390,0.113,0.026,0.445,0.093,0.028,0.010,0.093,59.125,91.399,0.379,-0.007,0.072,0.200,0.127,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.349,0.395
Churikova66,304,Line16SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,16,31.931,51.728,32.025,51.795,0.115,40.740,50.00,8.570,0.121,0.015,0.426,0.094,0.026,0.012,0.080,59.251,91.226,0.340,-0.007,0.072,0.200,0.122,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.344,0.392
Churikova66,305,Line17SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,17,31.936,51.732,32.025,51.795,0.109,40.560,49.82,8.630,0.125,0.017,0.403,0.095,0.023,0.013,0.068,59.113,91.140,0.290,-0.007,0.072,0.200,0.116,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.337,0.386
Churikova66,306,Line18SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,18,31.941,51.736,32.025,51.795,0.103,40.640,49.86,8.820,0.116,0.018,0.396,0.095,0.027,0.011,0.060,59.332,90.970,0.240,-0.007,0.072,0.200,0.110,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.331,0.381
Churikova66,307,Line19SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,19,31.946,51.739,32.025,51.795,0.097,40.710,49.67,8.970,0.123,0.020,0.384,0.095,0.024,0.009,0.057,59.286,90.798,0.195,-0.007,0.072,0.200,0.104,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.324,0.377
Churikova66,308,Line20SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,20,31.951,51.743,32.025,51.795,0.090,40.680,49.53,9.060,0.134,0.013,0.383,0.092,0.028,0.009,0.047,59.240,90.691,0.145,-0.007,0.072,0.200,0.097,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.318,0.372
Churikova66,309,Line21SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,21,31.956,51.746,32.025,51.795,0.085,40.650,49.39,9.250,0.127,0.012,0.361,0.094,0.019,0.009,0.045,59.253,90.490,0.100,-0.007,0.072,0.200,0.092,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.311,0.368
Churikova66,310,Line22SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,22,31.961,51.750,32.025,51.795,0.078,40.550,49.33,9.460,0.135,0.015,0.364,0.103,0.024,0.009,0.033,59.431,90.284,0.050,-0.007,0.072,0.200,0.085,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.304,0.363
Churikova66,311,Line23SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,23,31.966,51.754,32.025,51.795,0.072,40.600,49.02,9.600,0.148,0.015,0.398,0.109,0.024,0.013,0.084,59.314,90.098,0.000,-0.007,0.072,0.200,0.079,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.298,0.357
Churikova66,312,Line24SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,24,31.971,51.757,32.025,51.795,0.066,40.590,48.87,9.800,0.136,0.015,0.427,0.110,0.025,0.016,0.129,59.383,89.885,-0.074,-0.007,0.072,0.200,0.073,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.291,0.353
Churikova66,313,Line25SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,25,31.976,51.761,32.025,51.795,0.060,40.370,48.85,9.910,0.121,0.022,0.401,0.109,0.028,0.044,0.134,59.441,89.779,-0.155,-0.007,0.072,0.200,0.067,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.285,0.348
Churikova66,314,Line26SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,26,31.980,51.764,32.025,51.795,0.055,40.350,48.79,9.930,0.145,0.016,0.417,0.104,0.024,0.017,0.111,59.426,89.750,-0.218,-0.007,0.072,0.200,0.062,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.279,0.344
Churikova66,315,Line27SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,27,31.985,51.767,32.025,51.795,0.049,40.330,48.72,10.000,0.146,0.018,0.412,0.105,0.025,0.014,0.095,59.425,89.671,-0.292,-0.007,0.072,0.200,0.056,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.273,0.340
Churikova66,316,Line28SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,28,31.991,51.771,32.025,51.795,0.042,40.450,48.76,10.150,0.146,0.017,0.384,0.108,0.020,0.010,0.059,59.585,89.540,-0.383,-0.007,0.072,0.200,0.049,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.265,0.335
Churikova66,317,Line29SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,29,31.995,51.775,32.025,51.795,0.036,40.770,49.14,10.390,0.146,0.016,0.375,0.112,0.023,0.005,0.049,60.203,89.393,-0.454,-0.007,0.072,0.200,0.043,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.260,0.330
Churikova66,318,Line30SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,30,32.001,51.778,32.025,51.795,0.029,40.330,48.29,10.600,0.155,0.019,0.360,0.107,0.024,0.023,0.074,59.554,89.033,-0.538,-0.007,0.072,0.200,0.036,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.252,0.326
Churikova66,319,Line31SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,31,32.005,51.782,32.025,51.795,0.024,40.360,48.18,10.800,0.157,0.020,0.331,0.109,0.019,0.018,0.052,59.616,88.826,-0.609,-0.007,0.072,0.200,0.031,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.246,0.320
Churikova66,320,Line32SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,32,32.010,51.785,32.025,51.795,0.018,40.200,47.92,11.090,0.169,0.019,0.292,0.113,0.021,0.014,0.058,59.624,88.506,-0.683,-0.007,0.072,0.200,0.025,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.240,0.316
Churikova66,321,Line33SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,33,32.015,51.788,32.025,51.795,0.012,40.210,47.55,11.670,0.181,0.025,0.235,0.123,0.021,0.015,0.056,59.804,87.895,-0.756,-0.007,0.072,0.200,0.019,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.233,0.313
Churikova66,322,Line34SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,34,32.020,51.792,32.025,51.795,0.006,39.990,47.06,12.280,0.184,0.020,0.184,0.132,0.013,0.009,0.044,59.874,87.227,-0.837,-0.007,0.072,0.200,0.013,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.227,0.307
Churikova66,323,Line35SHIV08-05ol7,SHIV-08-05,17,Ol-7-1,1,35,32.025,51.795,32.025,51.795,0.000,39.680,45.40,14.160,0.224,0.025,0.134,0.142,0.018,0.017,0.043,60.102,85.105,-0.911,-0.007,0.072,0.200,0.007,31.858,51.676,32.025,51.795,0.270,0.440,0.460,0.220,0.303
